sample	protein_num
TCGA.19.1392.01A	462
TCGA.06.5415.01A	462
TCGA.06.0190.02A	217
TCGA.06.0190.01A	217
TCGA.14.0871.01A	462
TCGA.06.5414.01A	224
TCGA.76.4931.01A	462
TCGA.19.5956.01A	464
TCGA.06.6388.01A	463
TCGA.02.0014.01A	224
TCGA.06.5410.01A	462
TCGA.06.6694.01A	463
TCGA.08.0353.01A	463
TCGA.74.6573.01A	463
TCGA.12.3649.01A	462
TCGA.76.4926.01B	462
TCGA.19.5960.01A	463
TCGA.06.1086.01A	223
TCGA.06.0875.01A	462
TCGA.19.4065.02A	457
TCGA.81.5910.01A	462
TCGA.19.2631.01A	463
TCGA.06.1084.01A	463
TCGA.19.1790.01B	462
TCGA.06.5408.01A	462
TCGA.28.2501.01A	224
TCGA.19.A6J4.01A	458
TCGA.19.4068.01A	462
TCGA.27.1833.01A	223
TCGA.06.5856.01A	462
TCGA.4W.AA9R.01A	458
TCGA.06.0155.01B	462
TCGA.19.1386.01A	463
