sample	cnv
TCGA.12.0820.01A	55602
TCGA.06.2558.01A	55583
TCGA.06.2559.01A	55495
TCGA.02.0269.01B	55351
TCGA.14.0813.01A	55532
TCGA.02.0037.01A	55440
TCGA.12.0778.01A	55067
TCGA.08.0350.01A	55673
TCGA.27.2518.01A	55470
TCGA.19.A60I.01A	57067
TCGA.06.2562.01A	55539
TCGA.76.6283.01A	55579
TCGA.14.1825.01A	55764
TCGA.06.0174.01A	56950
TCGA.12.0821.01A	55553
TCGA.19.5952.01A	55446
TCGA.08.0358.01A	55355
TCGA.06.0648.01A	55685
TCGA.27.1831.01A	55578
TCGA.12.0616.01A	55563
TCGA.12.0618.01A	55500
TCGA.12.0670.01B	55410
TCGA.06.0152.02A	55406
TCGA.06.0650.01A	55593
TCGA.16.1056.01B	55443
TCGA.32.4208.01A	55774
TCGA.76.6660.01A	55197
TCGA.32.1987.01A	55043
TCGA.02.0422.01A	55519
TCGA.14.0867.01A	55430
TCGA.06.A5U0.01A	57164
TCGA.12.0688.01A	55572
TCGA.76.6192.01A	55590
TCGA.19.1791.01A	55529
TCGA.74.6575.01A	54949
TCGA.28.1752.01A	55661
TCGA.06.0241.01A	56830
TCGA.08.0246.01A	55069
TCGA.06.0409.01A	55413
TCGA.27.1830.01A	55401
TCGA.41.2571.01A	55538
TCGA.08.0380.01A	55620
TCGA.28.5213.01A	55488
TCGA.32.4719.01A	55531
TCGA.12.0775.01A	55502
TCGA.06.0190.02A	55415
TCGA.12.1093.01A	55377
TCGA.14.1395.01B	55370
TCGA.02.0051.01A	55430
TCGA.02.0430.01A	55580
TCGA.14.1795.01A	55576
TCGA.4W.AA9S.01A	57081
TCGA.02.0070.01A	55590
TCGA.12.1095.01A	55545
TCGA.28.6450.01A	55516
TCGA.02.0086.01A	55384
TCGA.76.6191.01A	55595
TCGA.06.5413.01A	55602
TCGA.76.6664.01A	55471
TCGA.02.0006.01B	55598
TCGA.26.1440.01A	55666
TCGA.27.1835.01A	54944
TCGA.08.0354.01A	55682
TCGA.06.1805.01A	55568
TCGA.06.0875.01A	55496
TCGA.06.0878.01A	55479
TCGA.02.0027.01A	55512
TCGA.14.1043.01B	55425
TCGA.19.0957.01C	55323
TCGA.19.1385.01A	55813
TCGA.06.0216.01B	55620
TCGA.26.1439.01A	55478
TCGA.12.1090.01A	55657
TCGA.14.2554.01A	55476
TCGA.19.2631.01A	55525
TCGA.08.0521.01A	55689
TCGA.06.2570.01A	55679
TCGA.06.6698.01A	55622
TCGA.41.5651.01A	55157
TCGA.12.0776.01A	55168
TCGA.02.2466.01A	55627
TCGA.08.0509.01A	55573
TCGA.08.0531.01A	55525
TCGA.12.0656.01A	55315
TCGA.06.0939.01A	55661
TCGA.12.5295.01A	55632
TCGA.02.0115.01A	55640
TCGA.28.5211.01C	55585
TCGA.32.1980.01A	55677
TCGA.02.0106.01A	55435
TCGA.28.5214.01A	55353
TCGA.19.1786.01A	55184
TCGA.12.1094.01A	55569
TCGA.41.3392.01A	55559
TCGA.26.5139.01A	55499
TCGA.27.1832.01A	55178
TCGA.06.0162.01A	55533
TCGA.06.A6S1.01A	56874
TCGA.06.0157.01A	56869
TCGA.12.0654.01B	54989
TCGA.06.5412.01A	55455
TCGA.06.0238.01A	55577
TCGA.32.4210.01A	55472
TCGA.08.0389.01A	55661
TCGA.12.3646.01A	55657
TCGA.28.2506.01A	55487
TCGA.27.1833.01A	55422
TCGA.87.5896.01A	55525
TCGA.12.1097.01B	55572
TCGA.28.1750.01A	55386
TCGA.14.1451.01A	55494
TCGA.06.0124.01A	55572
TCGA.27.2526.01A	55306
TCGA.02.0028.01A	54821
TCGA.06.0145.01A	55117
TCGA.12.0819.01A	55491
TCGA.06.0211.01B	56978
TCGA.06.0127.01A	55473
TCGA.06.6391.01A	55634
TCGA.06.0129.01A	55516
TCGA.15.1449.01A	55435
TCGA.06.0126.01A	55487
TCGA.16.1047.01B	55308
TCGA.02.0058.01A	55852
TCGA.16.1460.01A	55682
TCGA.06.0121.01A	55704
TCGA.06.0159.01A	55643
TCGA.02.0055.01A	55599
TCGA.02.0116.01A	55565
TCGA.02.0113.01A	55501
TCGA.06.0151.01A	56399
TCGA.12.0691.01A	55369
TCGA.26.5132.01A	55670
TCGA.02.0007.01A	55626
TCGA.06.0211.02A	55502
TCGA.06.0130.01A	55439
TCGA.32.2495.01A	55067
TCGA.06.0148.01A	55599
TCGA.14.1454.01A	55432
TCGA.02.0107.01A	55486
TCGA.02.0068.01A	55403
TCGA.06.6390.01A	55722
TCGA.32.1976.01A	55292
TCGA.06.0219.01A	56975
TCGA.14.0783.01B	55465
TCGA.06.5416.01A	55252
TCGA.32.1977.01A	55555
TCGA.06.0206.01A	57013
TCGA.06.0143.01A	55736
TCGA.12.0772.01A	55585
TCGA.76.6657.01A	55600
TCGA.12.1598.01A	55625
TCGA.06.0182.01A	55583
TCGA.32.4213.01A	55440
TCGA.14.1821.01A	55104
TCGA.19.1387.01A	55678
TCGA.06.0745.01A	55255
TCGA.06.0128.01A	55823
TCGA.02.0047.01A	55658
TCGA.28.2514.01A	55262
TCGA.12.3653.01A	55263
TCGA.41.3915.01A	55500
TCGA.02.0054.01A	55688
TCGA.02.0084.01A	55700
TCGA.02.0046.01A	55587
TCGA.02.0440.01A	55624
TCGA.12.3650.01A	55600
TCGA.RR.A6KC.01A	56745
TCGA.06.0649.01B	55286
TCGA.16.0846.01A	55444
TCGA.02.0324.01A	55619
TCGA.06.0195.01B	56598
TCGA.02.0011.01B	55628
TCGA.06.0141.01A	55567
TCGA.12.1092.01B	55566
TCGA.14.1458.01A	55588
TCGA.32.4211.01A	55307
TCGA.08.0346.01A	55455
TCGA.06.5418.01A	55503
TCGA.14.1401.01A	55573
TCGA.12.3651.01A	55423
