sample	probe
TCGA.HT.7858.01A	17295
TCGA.CS.5396.01A	17302
TCGA.DU.7306.01A	17298
TCGA.QH.A6CX.01A	17238
TCGA.HT.A61B.01A	17280
TCGA.DU.7309.01A	17278
TCGA.VM.A8CA.01A	17296
TCGA.QH.A6X8.01A	17182
TCGA.S9.A6WL.01A	17119
TCGA.DB.A64W.01A	17294
TCGA.S9.A6UA.01A	17115
TCGA.FG.A4MT.01A	17293
TCGA.HT.A617.01A	17285
TCGA.HT.A5R9.01A	17244
TCGA.DU.6397.01A	17302
TCGA.DU.7015.01A	17294
TCGA.HT.7877.01A	17288
TCGA.HT.8564.01A	17295
TCGA.WY.A85C.01A	17277
TCGA.HT.A74H.01A	17146
TCGA.QH.A6CW.01A	17160
TCGA.HT.7860.01A	17296
TCGA.FG.A4MY.01A	17294
TCGA.HT.7470.01A	17294
TCGA.FG.A87Q.01A	17279
TCGA.S9.A7J0.01A	17267
TCGA.QH.A6CU.01A	17228
TCGA.DU.6407.02B	17274
TCGA.HT.7874.01A	17302
TCGA.DH.A7US.01A	17187
TCGA.DH.A669.02A	17256
TCGA.RY.A840.01A	17290
TCGA.TM.A84C.01A	17276
TCGA.P5.A5EZ.01A	17300
TCGA.HT.7884.01B	17298
TCGA.TM.A84O.01A	17303
TCGA.TM.A7C5.01A	17260
TCGA.S9.A7R2.01A	17288
TCGA.CS.6666.01A	17278
TCGA.E1.A7YL.01A	17290
TCGA.DU.6405.01A	16937
TCGA.QH.A6X4.01A	17264
TCGA.DH.A7UU.01A	17301
TCGA.S9.A7IY.01A	17294
TCGA.DU.A6S8.01A	17243
TCGA.CS.4943.01A	17300
TCGA.DB.A64U.01A	17303
TCGA.HT.8019.01A	17297
TCGA.S9.A6WO.01A	17299
TCGA.HT.A74K.01A	17272
TCGA.DU.A7T6.01A	17219
TCGA.DU.A6S7.01A	17263
TCGA.S9.A6TZ.01A	17244
TCGA.DH.A7UT.01A	17291
TCGA.DU.A6S2.01A	17211
TCGA.HW.8319.01A	17266
TCGA.DU.6404.01A	17295
TCGA.FG.A70Y.01A	17263
TCGA.CS.5390.01A	17302
TCGA.FG.7637.01A	17293
TCGA.S9.A6TW.01A	17204
TCGA.DU.8163.01A	17294
TCGA.S9.A89V.01A	17270
TCGA.DU.7012.01A	17298
TCGA.P5.A733.01A	17277
TCGA.DU.A7TB.01A	17172
TCGA.FG.8186.01A	17297
TCGA.DB.A64L.01A	17290
TCGA.FG.A4MW.01A	17269
TCGA.DH.5143.01A	17305
TCGA.DU.5871.01A	17294
TCGA.FG.A4MT.02A	17288
TCGA.DU.7290.01A	17295
TCGA.HT.7690.01A	17276
TCGA.HT.8013.01A	17297
TCGA.HT.7601.01A	17300
TCGA.DU.6397.02A	17269
TCGA.CS.5393.01A	17301
TCGA.HT.A61A.01A	17294
TCGA.DU.7018.01A	17299
TCGA.S9.A6WM.01A	17241
TCGA.HT.8107.01A	17287
TCGA.E1.A7YE.01A	17221
TCGA.TQ.A7RW.01A	17268
TCGA.HT.7467.01A	17297
TCGA.DU.8164.01A	17294
TCGA.E1.A7YU.01A	17292
TCGA.FG.8185.01A	17298
TCGA.DU.6392.01A	17283
TCGA.DB.A64O.01A	17256
TCGA.P5.A780.01A	17297
TCGA.DB.A4XF.01A	17297
TCGA.S9.A7QX.01A	17296
TCGA.QH.A6XA.01A	17285
TCGA.DU.6394.01A	17295
TCGA.DB.5280.01A	17302
TCGA.FG.5962.01B	17273
TCGA.DU.7300.01A	17300
TCGA.R8.A6ML.01A	17277
TCGA.WY.A859.01A	17273
TCGA.CS.6668.01A	17289
TCGA.FG.8187.01A	17292
TCGA.HT.7604.01A	17283
TCGA.FG.A70Z.01A	17208
TCGA.DU.6393.01A	17288
TCGA.RY.A845.01A	17242
TCGA.DU.7294.01A	17295
TCGA.HT.A74J.01A	17263
TCGA.HT.7880.01A	17288
TCGA.HT.A5R5.01A	17300
TCGA.S9.A6TU.01A	17262
TCGA.HT.7680.01A	17272
TCGA.DU.A7TG.01A	17297
TCGA.DH.5142.01A	17300
TCGA.HT.A4DS.01A	17286
TCGA.P5.A5EW.01A	17287
TCGA.E1.5304.01A	17291
TCGA.TQ.A7RH.01A	17287
TCGA.QH.A65X.01A	17297
TCGA.S9.A7R4.01A	17301
TCGA.E1.A7YI.01A	17280
TCGA.FG.A710.01A	17232
TCGA.HT.8104.01A	17277
TCGA.P5.A72W.01A	17262
TCGA.HW.7489.01A	17293
TCGA.E1.5322.01A	17300
TCGA.DH.5141.01A	17300
TCGA.HT.A619.01A	17285
TCGA.TM.A84Q.01A	17284
TCGA.FG.5963.01A	17289
TCGA.QH.A6CV.01A	17249
TCGA.DH.5140.01A	17302
TCGA.VW.A7QS.01A	17214
TCGA.DU.5853.01A	16947
TCGA.HT.7480.01A	17296
TCGA.TQ.A7RK.02A	17197
TCGA.CS.4938.01B	17249
TCGA.S9.A6U9.01A	17247
TCGA.HT.7477.01B	17295
TCGA.P5.A731.01A	17262
TCGA.DB.A4XC.01A	17287
TCGA.E1.A7Z3.01A	17290
TCGA.E1.5318.01A	17299
TCGA.TQ.A7RM.01A	17194
TCGA.DB.A4XD.01A	17290
TCGA.HT.7875.01A	17249
TCGA.P5.A781.01A	17242
TCGA.TM.A84R.01A	17300
TCGA.S9.A7J2.01A	17276
TCGA.WY.A85E.01A	17282
TCGA.DU.A6S3.01A	17203
TCGA.DU.6410.01A	17269
TCGA.DU.7019.01A	17296
TCGA.HW.7487.01A	17301
TCGA.TM.A7CF.02A	17195
TCGA.S9.A6WE.01A	17154
TCGA.DU.8168.01A	17284
TCGA.DU.6542.01A	17254
TCGA.HT.7694.01A	17296
TCGA.S9.A89Z.01A	17290
TCGA.FG.6690.01A	17243
TCGA.HT.8015.01B	17264
TCGA.HT.7603.01A	17288
TCGA.F6.A8O4.01A	17283
TCGA.DU.5855.01A	17294
TCGA.DU.7013.01A	17296
TCGA.DU.6401.01A	17249
TCGA.QH.A65S.01A	17272
TCGA.VM.A8CD.01A	17295
TCGA.P5.A5EY.01A	17298
TCGA.R8.A73M.01A	17245
TCGA.QH.A6X5.01A	17213
TCGA.DB.A64X.01A	17279
TCGA.CS.4942.01A	17299
TCGA.HT.7481.01A	17298
TCGA.HW.8320.01A	17302
TCGA.DU.5851.01A	17281
TCGA.HW.7493.01A	17304
TCGA.S9.A6TV.01A	17283
