sample	snv
TCGA-16-0846-01A	165
TCGA-16-0848-01A	667
TCGA-16-0849-01A	52
TCGA-16-0850-01A	58
TCGA-16-0861-01A	134
TCGA-16-1045-01B	169
TCGA-16-1048-01B	70
TCGA-16-1460-01A	62
TCGA-19-0957-01C	91
TCGA-19-0957-02A	126
TCGA-19-1385-01A	63
TCGA-19-1386-01A	62
TCGA-19-1387-01A	81
TCGA-19-1389-02A	29
TCGA-19-1390-01A	286
TCGA-19-1786-01A	59
TCGA-19-1787-01B	1358
TCGA-19-1788-01A	78
TCGA-19-1789-01A	70
TCGA-19-1790-01B	87
TCGA-19-1791-01A	63
TCGA-19-2620-01A	184
TCGA-19-2621-01B	89
TCGA-19-2623-01A	82
TCGA-19-2624-01A	82
TCGA-19-2625-01A	132
TCGA-19-2629-01A	185
TCGA-19-2631-01A	81
TCGA-19-4065-01A	53
TCGA-19-4065-02A	103
TCGA-19-4068-01A	63
TCGA-19-5947-01A	26
TCGA-19-5950-01A	57
TCGA-19-5951-01A	78
TCGA-19-5953-01B	55
TCGA-19-5954-01A	87
TCGA-19-5955-01A	69
TCGA-19-5956-01A	8107
TCGA-19-5958-01A	46
TCGA-19-5959-01A	90
TCGA-19-5960-01A	40
TCGA-19-A60I-01A	31
TCGA-19-A6J4-01A	31
TCGA-19-A6J5-01A	51
TCGA-26-1439-01A	38
TCGA-26-1442-01A	42
TCGA-26-1799-01A	50
TCGA-26-5133-01A	42
TCGA-26-5134-01A	52
TCGA-26-5135-01A	63
TCGA-26-5136-01B	51
TCGA-26-5139-01A	48
TCGA-26-6173-01A	34
TCGA-26-6174-01A	89
TCGA-26-A7UX-01B	38
TCGA-27-1830-01A	48
TCGA-27-1831-01A	160
TCGA-27-1832-01A	77
TCGA-27-1833-01A	119
TCGA-27-1834-01A	163
TCGA-27-1835-01A	74
TCGA-27-1836-01A	45
TCGA-27-1837-01A	103
TCGA-27-1838-01A	98
TCGA-27-2518-01A	55
TCGA-27-2519-01A	94
TCGA-27-2521-01A	127
TCGA-27-2523-01A	107
TCGA-27-2524-01A	78
TCGA-27-2526-01A	104
TCGA-27-2527-01A	63
TCGA-27-2528-01A	116
TCGA-28-1745-01B	50
TCGA-28-1746-01A	75
TCGA-28-1747-01C	94
TCGA-28-1749-01A	48
TCGA-28-1750-01A	49
TCGA-28-1751-01A	60
TCGA-28-1752-01A	75
TCGA-28-1753-01A	53
TCGA-28-1755-01A	64
TCGA-28-1757-01A	100
TCGA-28-2499-01A	29
TCGA-28-2501-01A	48
TCGA-28-2502-01B	117
TCGA-28-2509-01A	111
TCGA-28-2510-01A	27
TCGA-28-2513-01A	164
TCGA-28-2514-01A	117
TCGA-28-5204-01A	41
TCGA-28-5208-01A	56
TCGA-28-5209-01A	85
TCGA-28-5211-01C	35
TCGA-28-5213-01A	53
TCGA-28-5214-01A	39
TCGA-28-5215-01A	36
TCGA-28-5216-01A	49
TCGA-28-5218-01A	18
TCGA-28-5219-01A	47
TCGA-28-5220-01A	38
TCGA-28-6450-01A	61
TCGA-32-1970-01A	169
TCGA-32-1976-01A	57
TCGA-32-1977-01A	75
TCGA-32-1979-01A	80
TCGA-32-1980-01A	12
TCGA-32-1982-01A	199
TCGA-32-1986-01A	43
TCGA-32-1991-01A	39
TCGA-32-2491-01A	64
TCGA-32-2494-01A	59
TCGA-32-2495-01A	65
TCGA-32-2615-01A	39
TCGA-32-2616-01A	1847
TCGA-32-2632-01A	182
TCGA-32-2634-01A	101
TCGA-32-2638-01A	127
TCGA-32-4208-01A	37
TCGA-32-4209-01A	27
TCGA-32-4210-01A	72
TCGA-32-4211-01A	57
TCGA-32-4213-01A	50
TCGA-32-5222-01A	68
TCGA-41-2571-01A	109
TCGA-41-2572-01A	53
TCGA-41-2573-01A	85
TCGA-41-2575-01A	149
TCGA-41-3392-01A	139
TCGA-41-3393-01A	74
TCGA-41-3915-01A	38
TCGA-41-4097-01A	32
TCGA-41-5651-01A	92
TCGA-41-6646-01A	53
TCGA-4W-AA9R-01A	81
TCGA-4W-AA9S-01A	58
TCGA-4W-AA9T-01A	52
TCGA-74-6573-01A	39
TCGA-74-6575-01A	98
TCGA-74-6577-01A	36
TCGA-74-6578-01A	70
TCGA-74-6581-01A	46
TCGA-74-6584-01A	42
TCGA-76-4925-01A	72
TCGA-76-4926-01B	62
TCGA-76-4927-01A	53
TCGA-76-4928-01B	83
TCGA-76-4929-01A	68
TCGA-76-4931-01A	47
TCGA-76-4932-01A	60
TCGA-76-4934-01A	55
TCGA-76-4935-01A	54
TCGA-76-6191-01A	60
TCGA-76-6192-01A	54
TCGA-76-6193-01A	51
TCGA-76-6280-01A	52
TCGA-76-6282-01A	43
TCGA-76-6283-01A	95
TCGA-76-6285-01A	55
TCGA-76-6286-01A	68
TCGA-76-6656-01A	90
TCGA-76-6657-01A	57
TCGA-76-6660-01A	91
TCGA-76-6661-01B	53
TCGA-76-6662-01A	41
TCGA-76-6663-01A	58
TCGA-76-6664-01A	52
TCGA-81-5910-01A	50
TCGA-81-5911-01A	27
TCGA-87-5896-01A	53
TCGA-OX-A56R-01A	40
TCGA-RR-A6KA-01A	60
TCGA-RR-A6KB-01A	46
TCGA-RR-A6KC-01A	50
