sample	probe
TCGA.27.2521.01A	25142
TCGA.32.4208.01A	25087
TCGA.32.1987.01A	25220
TCGA.12.1089.01A	23858
TCGA.16.0848.01A	23553
TCGA.19.1791.01A	24801
TCGA.28.1752.01A	24949
TCGA.19.1392.01A	23508
TCGA.14.1037.01A	24945
TCGA.27.1830.01A	24447
TCGA.19.0964.01A	24375
TCGA.02.2486.01A	25065
TCGA.32.1986.01A	24907
TCGA.14.0790.01B	25095
TCGA.14.0789.01A	24318
TCGA.12.1095.01A	23780
TCGA.02.0014.01A	24349
TCGA.28.2502.01B	25147
TCGA.16.0861.01A	24313
TCGA.06.1086.01A	23994
TCGA.06.0875.01A	24419
TCGA.06.1805.01A	24583
TCGA.02.0027.01A	24505
TCGA.02.2483.01A	25136
TCGA.19.0957.01C	24765
TCGA.28.2509.01A	24994
TCGA.06.2566.01A	25089
TCGA.19.1790.01B	24806
TCGA.14.2554.01A	25178
TCGA.06.2570.01A	25093
TCGA.12.0827.01A	24367
TCGA.06.0169.01A	24384
TCGA.06.1801.01A	24567
TCGA.06.0876.01A	23355
TCGA.02.2466.01A	25068
TCGA.19.1786.01A	24989
TCGA.12.1094.01A	23696
TCGA.41.3392.01A	24510
TCGA.12.0821.01A	24406
TCGA.14.0812.01B	24763
TCGA.12.1091.01A	24218
TCGA.19.1386.01A	24859
TCGA.32.1973.01A	25217
TCGA.16.1056.01B	24164
TCGA.02.0052.01A	24700
TCGA.27.1836.01A	24963
TCGA.14.1458.01A	24066
TCGA.32.2632.01A	24646
TCGA.28.1757.01A	24584
TCGA.16.1063.01B	24160
TCGA.41.2571.01A	24420
TCGA.41.3393.01A	25168
TCGA.14.0871.01A	24103
TCGA.02.0069.01A	24073
TCGA.06.0142.01A	24456
TCGA.16.1055.01B	24142
TCGA.12.0829.01A	24388
TCGA.06.2564.01A	25161
TCGA.12.3649.01A	24419
TCGA.02.0006.01B	23425
TCGA.26.1440.01A	23902
TCGA.06.1087.01A	24001
TCGA.19.1385.01A	24656
TCGA.14.0787.01A	24286
TCGA.06.0122.01A	24335
TCGA.12.1090.01A	24541
TCGA.14.1396.01A	23611
TCGA.19.2631.01A	24999
TCGA.06.1800.01A	24707
TCGA.27.1837.01A	25080
TCGA.28.1760.01A	24479
TCGA.28.1749.01A	24737
TCGA.28.1753.01A	24963
TCGA.06.2563.01A	25145
TCGA.02.0009.01A	24661
TCGA.14.1402.01A	23701
TCGA.19.2623.01A	24162
TCGA.14.0866.01B	24727
TCGA.32.1982.01A	25139
TCGA.28.1746.01A	24622
TCGA.02.0115.01A	24147
TCGA.12.0820.01A	22358
TCGA.06.2559.01A	25027
TCGA.02.0064.01A	24141
TCGA.06.2561.01A	24964
TCGA.12.3651.01A	24395
TCGA.12.0828.01A	24332
TCGA.26.1443.01A	23876
TCGA.19.4068.01A	25112
TCGA.14.1794.01A	24708
TCGA.28.2506.01A	25089
TCGA.28.1750.01A	24654
TCGA.12.1097.01B	24094
TCGA.14.1452.01A	21786
TCGA.06.0879.01A	24250
TCGA.19.1390.01A	24212
TCGA.02.0046.01A	24879
TCGA.06.0141.01A	24260
TCGA.14.1827.01A	24777
TCGA.32.4211.01A	25079
TCGA.14.1401.01A	23892
TCGA.02.0060.01A	24670
TCGA.02.2485.01A	25122
