sample	probe
TCGA.02.0034.01A	24337
TCGA.41.4097.01A	25118
TCGA.32.1970.01A	25072
TCGA.32.4719.01A	24999
TCGA.27.1834.01A	24815
TCGA.12.1093.01A	23925
TCGA.14.0865.01B	24669
TCGA.14.1795.01A	24911
TCGA.02.0086.01A	23708
TCGA.12.1602.01A	24925
TCGA.06.0878.01A	24198
TCGA.19.1788.01A	24487
TCGA.27.1835.01A	25131
TCGA.12.1098.01C	24222
TCGA.16.0849.01A	24324
TCGA.27.2524.01A	25046
TCGA.27.2527.01A	25102
TCGA.12.1088.01A	24092
TCGA.32.2491.01A	24829
TCGA.26.1439.01A	23899
TCGA.12.1096.01A	23658
TCGA.06.1084.01A	24406
TCGA.02.0075.01A	23946
TCGA.27.2528.01A	25117
TCGA.06.2565.01A	25063
TCGA.32.2494.01A	25129
TCGA.14.0813.01A	24213
TCGA.06.0939.01A	24788
TCGA.14.0736.01A	24453
TCGA.06.2558.01A	25011
TCGA.02.0037.01A	24548
TCGA.27.2518.01A	25100
TCGA.32.4210.01A	25100
TCGA.12.3646.01A	24592
TCGA.27.1833.01A	24803
TCGA.27.1831.01A	25113
TCGA.06.0124.01A	24420
TCGA.14.3476.01B	25208
TCGA.27.2526.01A	25032
TCGA.02.0028.01A	24486
TCGA.06.0145.01A	24806
TCGA.06.0130.01A	24203
TCGA.15.1449.01A	21824
TCGA.12.0819.01A	24020
TCGA.06.0129.01A	24259
TCGA.14.1454.01A	22630
TCGA.02.0089.01A	23814
TCGA.14.1823.01A	24884
TCGA.02.0055.01A	24524
TCGA.32.4209.01A	25162
TCGA.27.2523.01A	25118
TCGA.02.0007.01A	24159
TCGA.06.0126.01A	24238
TCGA.02.0107.01A	23950
TCGA.32.2495.01A	25193
TCGA.16.1045.01B	24248
TCGA.06.0148.01A	23218
TCGA.32.4213.01A	25083
TCGA.02.0047.01A	23716
TCGA.12.1599.01A	24865
TCGA.27.1838.01A	25018
TCGA.12.1597.01B	24722
TCGA.28.1755.01A	25045
TCGA.19.2624.01A	24322
TCGA.32.1976.01A	25139
TCGA.02.0011.01B	24827
TCGA.41.2575.01A	24543
TCGA.16.0850.01A	24096
TCGA.12.3653.01A	24677
TCGA.12.3648.01A	24618
TCGA.41.3915.01A	25225
TCGA.14.0817.01A	24358
TCGA.02.0054.01A	23924
TCGA.12.1092.01B	23866
TCGA.06.2569.01A	24876
TCGA.16.0846.01A	23280
TCGA.06.2567.01A	25024
TCGA.06.0877.01A	23312
TCGA.12.1598.01A	24532
TCGA.14.1451.01A	21350
TCGA.02.0085.01A	24515
TCGA.14.0867.01A	24126
TCGA.12.3650.01A	24269
TCGA.14.3477.01A	24718
TCGA.27.1832.01A	24953
TCGA.02.0003.01A	22730
TCGA.06.2562.01A	24938
TCGA.14.1825.01A	24953
TCGA.19.2629.01A	24383
TCGA.19.0955.01A	24042
TCGA.12.0670.01B	24253
TCGA.19.2625.01A	24275
TCGA.06.0155.01B	24277
TCGA.12.3644.01A	24630
TCGA.02.0033.01A	24835
TCGA.02.0038.01A	24451
TCGA.12.0826.01A	24339
TCGA.26.1799.01A	24654
TCGA.28.1745.01B	24388
TCGA.19.2620.01A	24269
TCGA.19.1389.01A	24480
TCGA.06.0882.01A	24475
TCGA.28.2514.01A	25119
TCGA.19.1387.01A	25011
TCGA.14.0783.01B	24262
TCGA.02.0074.01A	23398
TCGA.19.1787.01B	24587
TCGA.32.1977.01A	25185
TCGA.32.2615.01A	24192
TCGA.28.2513.01A	25081
TCGA.28.1751.01A	24864
TCGA.06.0143.01A	23051
TCGA.06.0128.01A	23153
TCGA.06.0133.01A	24283
TCGA.14.4157.01A	25178
TCGA.14.1821.01A	24931
TCGA.16.1048.01B	25169
TCGA.19.1789.01A	24838
TCGA.16.1047.01B	24175
TCGA.02.0021.01A	24224
TCGA.06.0139.01A	23514
TCGA.02.0058.01A	24798
TCGA.06.0147.01A	23953
TCGA.16.1460.01A	24605
TCGA.02.0010.01A	24519
TCGA.06.0137.01B	23866
TCGA.02.0083.01A	23671
TCGA.14.1453.01A	22422
TCGA.06.0137.01A	24523
TCGA.02.0116.01A	23822
TCGA.02.0043.01A	24705
TCGA.02.0102.01A	23814
TCGA.32.1978.01A	25100
TCGA.06.0119.01A	23728
TCGA.06.2557.01A	25084
TCGA.06.0125.01A	24028
TCGA.02.0001.01C	23475
TCGA.28.2499.01A	25059
TCGA.02.0080.01A	24369
TCGA.19.2619.01A	24518
TCGA.02.0113.01A	24047
TCGA.06.0140.01A	23372
TCGA.16.1060.01A	24469
TCGA.02.0057.01A	24129
TCGA.32.2498.01A	25147
TCGA.02.0114.01A	23654
TCGA.28.2512.01A	25160
TCGA.06.0121.01A	24409
TCGA.32.2616.01A	24350
TCGA.19.0960.01A	24297
TCGA.02.0071.01A	23781
TCGA.16.1062.01A	24347
TCGA.14.2555.01B	24591
TCGA.28.1756.01C	25079
TCGA.15.1447.01A	21595
TCGA.15.1446.01A	23986
TCGA.19.0962.01B	24060
TCGA.12.0818.01A	24332
TCGA.14.1829.01A	24912
TCGA.12.1601.01A	24934
TCGA.27.2519.01A	25129
TCGA.14.1459.01A	21454
TCGA.41.2572.01A	25181
TCGA.06.1802.01A	24323
TCGA.41.2573.01A	24599
TCGA.14.1455.01A	24875
TCGA.14.1456.01B	25075
TCGA.19.1388.01A	24819
TCGA.32.2634.01A	24141
TCGA.28.1747.01C	25125
TCGA.02.0024.01B	23380
TCGA.06.0881.01A	24602
TCGA.12.1099.01A	24072
TCGA.14.0786.01B	24089
TCGA.12.0822.01A	24733
TCGA.32.1991.01A	25103
TCGA.02.0099.01A	23231
TCGA.19.2621.01B	24088
TCGA.32.2638.01A	24396
TCGA.02.2470.01A	25118
TCGA.12.1600.01A	24951
TCGA.26.1438.01A	23614
TCGA.12.3652.01A	24430
TCGA.14.1034.01A	24647
TCGA.19.0963.01B	24039
